| ABSTR_RAW                      | ABSTR_TOK                      | ABSTR_UPPER                    | AFFIL                                                                            |           ART_NO | AUTHID                                                                       | AUTHKW_NORM                    | AUTHKW_RAW                     | AUTHKW_TOK                     | AUTH_FIRST            | AUTH_FULL_NAME                 | AUTH_NORM                      | AUTH_RAW                       | AUTH_WITH_AFFIL                                                                  | CAS_REG_NO             | CODEN   | CONCEPT_NORM                   | CONCEPT_RAW                    |   CONF_CODE | CONF_DATE                      | CONF_LOC        | CONF_NAME                      | CORRESPOND_ADDR                | CTRY                          | CTRY_FIRST    | CTRY_ISO3          | CTRY_ISO3_FIRST   | DATABASE   | DESCRIPTOR_NORM                | DESCRIPTOR_RAW                 | DOCTYPE          | DOI                            | EDITOR                         | EID                 | FUND_DET                       |   FUND_SPONS | FUND_TXT                       | GCR_FREE_TEXT                  |   GCR_WOS_FORMAT |   GCS | IDXKW_NORM                     | IDXKW_RAW                      | IDXKW_TOK                      | ISBN                           | ISSN     |   ISSUE | KW_NORM                        | KW_TOK                         | LANG    |   LCR_WOS_FORMAT |   LCS |   MANUFACTURER | NP_ABSTR_RAW                   | NP_RAW                         | NP_SPACY                       | NP_TEXTBLOB                    | NP_TITLE_RAW                   |   N_AUTH |   N_GCR |   N_LCR | OA                             | ORG                                                                             | ORG_FIRST                      |   PG_FIRST | PG_LAST   | PUBLISHER                      |        PUBMED | PUBSTAGE         | REC_ID                                             |   REC_NO | REC_SHORT_NAME             | REGION                 | SCOPUS_LINK                    | SRC                            | SRC_ISO4                       | SUBREGION                      | TITLE_RAW                      | TITLE_TOK                      | TITLE_UPPER                    |   TRADENAME |   VOL | WORD_NORM                      | WORD_RAW                       |   YEAR |
| Establishing a sustainable dev | establishing a sustainable dev | establishing a SUSTAINABLE_DEV | Key Laboratory of Sustainable Forest Ecosystem Management, Ministry of Education |    nan           | 58556839600; 57214940041; 56101483500                                        | ahp method; entropy weight met | ahp method; entropy weight met | ahp method; entropy weight met | LI H                  | Hongying Li; Lingbo Dong; Zhao | LI H; DONG L; LIU Z            | LI H; DONG L; LIU Z            | LI H., Key Laboratory of Sustainable Forest Ecosystem Management, Ministry of Ed | nan                    | nan     | ahp method; area; current situ | ahp method; area; current situ |         nan | nan                            | nan             | nan                            | Z. LIU; Key Laboratory of Sust | China                         | China         | CHN                | CHN               | Scopus     | ahp; ahp method; area; chart;  | ahp; ahp method; area; chart;  | Article          | 10.3969/j.issn.1006-8023.2023. | nan                            | 2-s2.0-85169303816  | nan                            |          nan | nan                            | LIU X L., Monitoring and asses |              nan |     3 | nan                            | nan                            | nan                            | nan                            | 10068023 |       1 | ahp method; entropy weight met | ahp method; entropy weight met | Chinese |              nan |     0 |            nan | sustainable development evalua | ahp method; area; current situ | 23 indicators; ahp method; are | ahp method; analyze; comprehen | prediction; sustainable develo |        3 |       0 |       0 | nan                            | NORTHEAST FOR UNIV                                                              | NORTHEAST FOR UNIV             |         11 | 20        | Department of Journal of Fores | nan           | Final            | LI H, 2023, ENG, V39, P11, DOI 10.3969/j.issn.1006 |       25 | LI H 2023                  | Asia                   | https://www.scopus.com/pages/p | FOREST ENGINEERING             | ENG                            | Eastern Asia                   | Prediction of Sustainable Deve | prediction of sustainable deve | PREDICTION of SUSTAINABLE_DEVE |         nan |    39 | ahp; area; chart; data; develo | ahp; area; chart; data; develo |   2023 |
| Background: Making a smart and | background : making a smart an | background : making a smart an | Department of Business Management, Semnan Branch, Islamic Azad University, Semna |    nan           | 58805543200; 57207685578; 56175610400; 58804612900                           | flexibility; health industry;  | flexibility; health industry;  | flexibility; health industry;  | Hosseinkhani M        | Masoud Hosseinkhani; Seyed Abd | Hosseinkhani M; Heydariyeh SA; | Hosseinkhani M; Heydariyeh SA; | Hosseinkhani M., Department of Business Management, Semnan Branch, Islamic Azad  | nan                    | nan     | communication; country; digita | communication; country; digita |         nan | nan                            | nan             | nan                            | S.A. Heydariyeh; Department of | Iran                          | Iran          | IRN                | IRN               | Scopus     | approach; chain; communication | approach; chain; communication | Article          | 10.18502/htaa.v7i2.13816       | nan                            | 2-s2.0-85181944341  | nan                            |          nan | nan                            | Schluter FF; Hetterscheid E; H |              nan |     0 | nan                            | nan                            | nan                            | nan                            | 26453835 |       2 | flexibility; health industry;  | flexibility; health industry;  | English |              nan |     0 |            nan | digital supply chain; key phen | communication; country; digita | 2021 tehran university; and de | average smart; chain flexibili | flexibility; smart supply chai |        4 |       0 |       0 | All Open Access; Gold Open Acc | ISLAM AZAD UNIV                                                                 | ISLAM AZAD UNIV                |        nan | nan       | Tehran University of Medical S | nan           | Final            | Hosseinkhani M, 2023, HEAL TECHNOL ASSESS ACTION,  |       26 | Hosseinkhani M 2023        | Asia                   | https://www.scopus.com/pages/p | HEALTH TECHNOLOGY ASSESSMENT I | HEAL TECHNOL ASSESS ACTION     | Southern Asia                  | Simulating Flexibility of the  | simulating flexibility of the  | simulating FLEXIBILITY of the  |         nan |     7 | approach; chain; communication | approach; chain; communication |   2023 |
| Digital Twins (DTs) are virtua | digital twins ( dts ) are virt | DIGITAL_TWINS ( dts ) are VIRT | Policy Dynamics Inc., Kitchener, ON, Canada; OP Jindal Global University, Haryan |    nan           | 57079535600; 36918658100; 59772590900; 59772591000                           | digital twins; dt; mealworm fa | digital twins; dt; mealworm fa | digital twins; dt; mealworm fa | Taylor IW             | Ivan W. Taylor; Saroj Koul; Fr | Taylor IW; Koul S; Araujo F; C | Taylor IW; Koul S; Araujo F; C | Taylor I.W., Policy Dynamics Inc., Kitchener, ON, Canada; Koul S., OP Jindal Glo | nan                    | nan     | a system; application; balance | a system; application; balance |         nan | nan                            | nan             | nan                            | S. Koul; OP Jindal Global Univ | Canada; India; Mexico; United | Canada        | CAN; IND; MEX; USA | CAN               | Scopus     | a system; allocation; analysis | a system; allocation; analysis | Article          | 10.1080/17477778.2025.2492682  | nan                            | 2-s2.0-105004275021 | nan                            |          nan | nan                            | Anderson A.M.; Van der Merwe A |              nan |     1 | market research; resource allo | market research; resource allo | market research; resource allo | nan                            | 17477778 |     nan | causal loop diagrams; decision | causal loop diagrams; decision | English |              nan |     0 |            nan | digital twins; virtual models; | a system; application; balance | 2025 the operational research  | cost structures; critical insi | a system; digital twin applica |        4 |       0 |       0 | nan                            | LLC; OP JINDAL GLOB UNIV; POLIC DYN INC; [UNKNOWN]                              | POLIC DYN INC                  |        nan | nan       | Taylor and Francis Ltd.        | nan           | Article in press | Taylor IW, 2025, J SIMUL, DOI 10.1080/17477778.202 |       27 | Taylor IW 2025             | Americas; Asia         | https://www.scopus.com/pages/p | JOURNAL OF SIMULATION          | J SIMUL                        | Latin America and The Caribbea | A system dynamics-based digita | a system dynamics_based digita | A_SYSTEM dynamics based DIGITA |         nan |   nan | allocation; analysis; applicat | allocation; analysis; applicat |   2025 |
| The highland is the habitat of | the highland is the habitat of | the HIGHLAND is the HABITAT of | Facultad de Ingeniería, Universidad Nacional Micaela Bastidas de Apurímac, Peru; |    nan           | 57226167139; 58767386700                                                     | competition; domesticated anim | competition; domesticated anim | competition; domesticated anim | Quispe D              | Diana Quispe; Jesús Quispe     | Quispe D; Quispe J             | Quispe D; Quispe J             | Quispe D., Facultad de Ingeniería, Universidad Nacional Micaela Bastidas de Apur | nan                    | nan     | ancient times; camelids; compe | ancient times; camelids; compe |         nan | nan                            | nan             | nan                            | nan                            | Peru                          | Peru          | PER                | PER               | Scopus     | access; ancient; ancient times | access; ancient; ancient times | Article          | 10.21704/rea.v22i2.2087        | nan                            | 2-s2.0-85193472875  | nan                            |          nan | nan                            | Aracil J., Dinámica de sistema |              nan |     0 | nan                            | nan                            | nan                            | nan                            | 17262216 |       2 | competition; domesticated anim | competition; domesticated anim | Spanish |              nan |     0 |            nan | highland; habitat; camelids; s | ancient times; camelids; consi | ancient times; behavior; camel | ancient times; considers varia | model; vicuna sheep interactio |        2 |       0 |       0 | All Open Access; Gold Open Acc | UNIV NAC DEL ALTIPLANO; UNIV NAC MICAELA BASTIDAS APURÍMAC                      | UNIV NAC MICAELA BASTIDAS APUR |        113 | 121       | Universidad Nacional Agraria L | nan           | Final            | Quispe D, 2023, ECOL APL, V22, P113, DOI 10.21704/ |       28 | Quispe D 2023              | Americas               | https://www.scopus.com/pages/p | ECOLOGIA APLICADA              | ECOL APL                       | Latin America and The Caribbea | MODEL OF VICUÑA-SHEEP INTERACT | model of vicuna_sheep interact | MODEL of VICUNA_SHEEP_INTERACT |         nan |    22 | access; ancient; animals; appr | access; ancient; animals; appr |   2023 |
| [Purpose/ significance] This s | [ purpose/ significance ] this | [ PURPOSE/ significance ] this | nan                                                                              |    nan           | nan                                                                          | big data thinking; competitive | big data thinking; competitive | big data thinking; competitive | nan                   | nan                            | nan                            | nan                            | nan                                                                              | nan                    | nan     | application rate; big data tec | application rate; big data tec |         nan | nan                            | nan             | nan                            | nan                            | nan                           | nan           | nan                | nan               | Scopus     | alliance; analysis; applicatio | alliance; analysis; applicatio | Article          | 10.16353/j.cnki.1000-7490.2022 | nan                            | 2-s2.0-85179733431  | nan                            |          nan | nan                            | 38, 6, (2015); 36, 6, (2016);  |              nan |     4 | nan                            | nan                            | nan                            | nan                            | 10007490 |       2 | big data thinking; competitive | big data thinking; competitive | Chinese |              nan |     0 |            nan | purpose/; construction; intell | application rate; big data tec | 2022 information studies; all; | application rate; big data; bi | simulation study; intelligence |        0 |       0 |       0 | nan                            | nan                                                                             | nan                            |        103 | 110       | Information studies: Theory an | nan           | Final            | [Anonymous], 2022, STUD THEORY APPL, V45, P103, DO |       29 | nan 2022                   | nan                    | https://www.scopus.com/pages/p | INFORMATION STUDIES: THEORY AN | STUD THEORY APPL               | nan                            | Simulation Study of Competitiv | simulation study of competitiv | SIMULATION_STUDY of competitiv |         nan |    45 | alliance; analysis; applicatio | alliance; analysis; applicatio |   2022 |
| The integrated crop–livestock  | the integrated croplivestock f | the integrated croplivestock F | College of Biological and Agricultural Engineering, Jilin University, Changchun, |    254           | 57219961334; 60546935700; 57219908159; 24329291200                           | integrated crop-livestock syst | integrated crop–livestock syst | integrated crop-livestock syst | Xia Y                 | Yujie Xia; Xiaoyu Lv; Shuang X | Xia Y; Lv X; Xu S; Guo H/1     | Xia Y; Lv X; Xu S; Guo H/1     | Xia Y., College of Biological and Agricultural Engineering, Jilin University, Ch | nan                    | nan     | agricultural economics; agricu | agricultural economics; agricu |         nan | nan                            | nan             | nan                            | S. Xu; College of Biological a | China                         | China         | CHN                | CHN               | Scopus     | agricultural; agricultural eco | agricultural; agricultural eco | Article          | 10.3390/systems14030254        | nan                            | 2-s2.0-105034362507 | China Scholarship Council, CSC |          nan | This research was funded by Ch | Rampa A.; Gadanakis Y.; Rose G |              nan |     0 | agricultural economics; agricu | agricultural economics; agricu | agricultural economics; agricu | nan                            | 20798954 |       3 | agricultural economics; agricu | agricultural economics; agricu | English |              nan |     0 |            nan | farming model; enhances resour | agricultural structure; aquacu | 7250 thousand hectares; agricu | agricultural structure; aquacu | simulation; structural optimiz |        4 |       0 |       0 | All Open Access; Gold Open Acc | JILIN UNIV                                                                      | JILIN UNIV                     |        nan | nan       | Multidisciplinary Digital Publ | nan           | Final            | Xia Y, 2026, SYST, V14, DOI 10.3390/systems1403025 |       30 | Xia Y 2026                 | Asia                   | https://www.scopus.com/pages/p | SYSTEMS                        | SYST                           | Eastern Asia                   | Research on Simulation and Str | research on simulation and str | research_on SIMULATION and STR |         nan |    14 | agricultural; analysis; aquacu | agricultural; analysis; aquacu |   2026 |
| Incentive policies for prefabr | incentive policies for prefabr | INCENTIVE_POLICIES for PREFABR | School of Civil Engineering, Shenyang Jianzhu University, Shenyang, 110168, Chin |   5627           | 58778411700; 57217132794; 57469248700                                        | dynamic simulation; government | dynamic simulation; government | dynamic simulation; government | Guo C                 | Chunbing Guo; Weidong Yan; Zhe | Guo C; Yan W; Guo Z/1          | Guo C; Yan W; Guo Z/1          | Guo C., School of Civil Engineering, Shenyang Jianzhu University, Shenyang, 1101 | nan                    | nan     | academia; analytical framework | academia; analytical framework |         nan | nan                            | nan             | nan                            | W. Yan; School of Civil Engine | China                         | China         | CHN                | CHN               | Scopus     | academia; analysis; analytical | academia; analysis; analytical | Article          | 10.3390/app15105627            | nan                            | 2-s2.0-105006770970 | National Natural Science Found |          nan | This research was funded by th | Huang L.Z.; Krigsvoll G.; Joha |              nan |     1 | architectural design; prestres | architectural design; prestres | architectural design; prestres | nan                            | 20763417 |      10 | architectural design; dynamic  | architectural design; dynamic  | English |              nan |     0 |            nan | incentive policies; prefabrica | academia; analytical framework | 50 variables; academia; analyt | analytical framework; carbon r | implementation effect; incenti |        3 |       0 |       0 | All Open Access; Gold Open Acc | CENT SOUTH UNIV; SHENYANG JIANZHU UNIV                                          | SHENYANG JIANZHU UNIV          |        nan | nan       | Multidisciplinary Digital Publ | nan           | Final            | Guo C, 2025, APPL SCI, V15, DOI 10.3390/app1510562 |       31 | Guo C 2025                 | Asia                   | https://www.scopus.com/pages/p | APPLIED SCIENCES (SWITZERLAND) | APPL SCI                       | Eastern Asia                   | Research on the Implementation | research on the implementation | research_on the IMPLEMENTATION |         nan |    15 | academia; analysis; analytical | academia; analysis; analytical |   2025 |
| The paper addresses the develo | the paper addresses the develo | the_paper_addresses the_develo | University of Maribor, Cybernetics and Decision Support Systems Laboratory, Facu |  12084           | 8530587400; 35590589400; 56415082500; 41262564400; 7003903082                | nan                            | nan                            | nan                            | Škraba A              | A. Škraba; B. Vavtar; V. Stano | Škraba A; Vavtar B; Stanovov V | Škraba A; Vavtar B; Stanovov V | Škraba A., University of Maribor, Cybernetics and Decision Support Systems Labor | nan                    | nan     | accuracy; austria; bass diffus | accuracy; austria; bass diffus |      167160 | 20 November 2020 through 21 No | Krasnoyarsk     | 3rd International Conference o | A. Škraba; University of Marib | Montenegro; Russia; Slovenia  | Slovenia      | MNE; RUS; SVN      | SVN               | Scopus     | accuracy; algorithm; austria;  | accuracy; algorithm; austria;  | Conference paper | 10.1088/1757-899X/1047/1/01208 | Kovalev I.V.; Siberian Federal | 2-s2.0-85101558925  | Javna Agencija za Raziskovalno |          nan | This work was supported by the | Wang W; Fergola P; Lombardo S; |              nan |     3 | nan                            | nan                            | nan                            | nan                            | 17578981 |       1 | nan                            | nan                            | English |              nan |     0 |            nan | parameterization; bass diffusi | accuracy; austria; bass diffus | accuracy; austria; bass diffus | accuracy; available databases; | bass diffusion model; data     |        5 |       0 |       0 | All Open Access; Gold Open Acc | RESHETNEV SIB STATE UNIV SCI TECHNOL; UNIV MARIBOR; UNIV MONTEN                 | UNIV MARIBOR                   |        nan | nan       | IOP Publishing Ltd             | nan           | Final            | Škraba A, 2021, IOP CONF SER MATER SCI ENG, V1047, |       32 | Škraba A 2021              | Europe                 | https://www.scopus.com/pages/p | IOP CONFERENCE SERIES: MATERIA | IOP CONF SER MATER SCI ENG     | Eastern Europe; Southern Europ | Parametrization of bass diffus | parametrization of bass diffus | parametrization of BASS_DIFFUS |         nan |  1047 | accuracy; algorithm; austria;  | accuracy; algorithm; austria;  |   2021 |
| In view of the problem of incr | in view of the problem of incr | in view of the_problem_of incr | State Key Laboratory of Mechanical Transmission, Chongqing University, Chongqing |    nan           | 57924910100; 57543496200; 57925253800; 7202792218; 7403346275; 24333797700   | collaborative quality value; i | collaborative quality value; i | collaborative quality value; i | Xu M                  | Mengyu Xu; Qian Yi; Yuzhong Sh | Xu M; Yi Q; Shan Y; Xiong S; C | Xu M; Yi Q; Shan Y; Xiong S; C | Xu M., State Key Laboratory of Mechanical Transmission, Chongqing University, Ch | nan                    | CHHKA   | collaborative management cost; | collaborative management cost; |         nan | nan                            | nan             | nan                            | Q. Yi; State Key Laboratory of | China                         | China         | CHN                | CHN               | Scopus     | assurance; behavior; chain; ch | assurance; behavior; chain; ch | Article          | 10.3901/JME.2022.12.270        | nan                            | 2-s2.0-85139723887  | nan                            |          nan | nan                            | Promote energy transformation  |              nan |     5 | construction equipment; dynami | construction equipment; dynami | construction equipment; dynami | nan                            | 05776686 |      12 | collaborative quality value; c | collaborative quality value; c | Chinese |              nan |     0 |            nan | collaborative management cost; | collaborative management cost; | 2022 editorial office; 34 key  | chinese journal; collaborative | collaborative quality; value m |        6 |       0 |       0 | All Open Access; Gold Open Acc | CHINA GUANGDONG NUCL ENG CO LTD; CHONGQING UNIV                                 | CHONGQING UNIV                 |        270 | 282       | Chinese Mechanical Engineering | nan           | Final            | Xu M, 2022, JIXIE GONGCHENG XUEBAO, V58, P270, DOI |       33 | Xu M 2022                  | Asia                   | https://www.scopus.com/pages/p | JIXIE GONGCHENG XUEBAO/JOURNAL | JIXIE GONGCHENG XUEBAO         | Eastern Asia                   | Collaborative Quality Value Mo | collaborative quality value mo | COLLABORATIVE_QUALITY VALUE_MO |         nan |    58 | assurance; behavior; chain; ch | assurance; behavior; chain; ch |   2022 |
| It is unquestionable that heal | it is unquestionable that heal | it is unquestionable that HEAL | Department of Management, Faculty of Economic, Management and Social Science, Sh | 121010           | 58509242600; 57445597300; 57216317046; 56675830700; 36008663700              | anp; dynamic expert system; he | anp; dynamic expert system; he | anp; dynamic expert system; he | Nazarian-Jashnabadi J | Javad Nazarian-Jashnabadi; Sha | Nazarian-Jashnabadi J; Rahnama | Nazarian-Jashnabadi J; Rahnama | Nazarian-Jashnabadi J., Department of Management, Faculty of Economic, Managemen | nan                    | ESAPE   | action; analytic network; anal | action; analytic network; anal |         nan | nan                            | nan             | nan                            | H. Tomaskova; Faculty of Infor | Czechia; Iran; Mexico         | Iran          | CZE; IRN; MEX      | IRN               | Scopus     | action; analysis; analytic; an | action; analysis; analytic; an | Article          | 10.1016/j.eswa.2023.121010     | nan                            | 2-s2.0-85166024530  | nan                            |          nan | nan                            | Abdellah F.G.; Levine E., Deve |              nan |    37 | cell proliferation; integrated | cell proliferation; integrated | cell proliferation; integrated | nan                            | 09574174 |     nan | analytic network; analytic net | analytic network; analytic net | English |              nan |     0 |            nan | health; issue; life; human bei | action; analytic network proce | accuracy; action; analytic net | analytic network process; anp  | dynamic expert system; patient |        5 |       0 |       0 | nan                            | ESC ING CIENC; SHIRAZ UNIV; UNIV HRADEC KRALOVE; URMIA UNIV TECHNOL             | SHIRAZ UNIV                    |        nan | nan       | Elsevier Ltd                   | nan           | Final            | Nazarian-Jashnabadi J, 2023, EXPERT SYS APPL, V234 |       34 | Nazarian-Jashnabadi J 2023 | Americas; Asia; Europe | https://www.scopus.com/pages/p | EXPERT SYSTEMS WITH APPLICATIO | EXPERT SYS APPL                | Eastern Europe; Latin America  | A dynamic expert system to inc | a dynamic expert system to inc | a DYNAMIC_EXPERT_SYSTEM to_inc |         nan |   234 | action; analysis; analytic; an | action; analysis; analytic; an |   2023 |
| The potential for pollution of | the potential for pollution of | the POTENTIAL for POLLUTION of | Master Program of Agricultural of Water Resources Management, Postgraduate, Univ |    nan           | 57212241821; 57208468531; 57194828121                                        | pollution load capacity; susta | pollution load capacity; susta | pollution load capacity; susta | Pradana HA            | Hendra Andiananta Pradana; Eli | Pradana HA; Novita E; Purnomo  | Pradana HA; Novita E; Purnomo  | Pradana H.A., Master Program of Agricultural of Water Resources Management, Post | nan                    | nan     | agricultural cultivation; alte | agricultural cultivation; alte |         nan | nan                            | nan             | nan                            | B.H. Purnomo; Faculty of Agric | Indonesia                     | Indonesia     | IDN                | IDN               | Scopus     | agricultural; agricultural cul | agricultural; agricultural cul | Article          | 10.15243/jdmlm.2022.092.3317   | nan                            | 2-s2.0-85123285300  | Indonesian Ministry of Higher  |          nan | This work was funded by the In | Arhin S.G.; Banadda N.; Komake |              nan |     4 | nan                            | nan                            | nan                            | nan                            | 2339076X |       2 | pollution load capacity; susta | pollution load capacity; susta | English |              nan |     0 |            nan | potential; pollution; rivers;  | agricultural cultivation; alte | 10 years; 2022 journal; agricu | agricultural cultivation; alte | simulation; water quality mana |        3 |       0 |       0 | All Open Access; Gold Open Acc | UNIV JEMBER                                                                     | UNIV JEMBER                    |       3317 | 3327      | Brawijaya University           | nan           | Final            | Pradana HA, 2022, J DEGRADED MIN LANDS MANAG, V9,  |       35 | Pradana HA 2022            | Asia                   | https://www.scopus.com/pages/p | JOURNAL OF DEGRADED AND MINING | J DEGRADED MIN LANDS MANAG     | South-Eastern Asia             | Simulation for water quality m | simulation for water quality m | SIMULATION for WATER_QUALITY_M |         nan |     9 | agricultural; alternative; app | agricultural; alternative; app |   2022 |
| The process of creating a simu | the process of creating a simu | the_process_of creating a SIMU | Universidad Politécnica de Cartagena, Cartagena, Spain; ESADE Business School, B |    nan           | 24536768900; 58374793100; 59665006300                                        | artificial intelligence; chatg | artificial intelligence; chatg | artificial intelligence; chatg | Campuzano-Bolarín F   | Francisco Campuzano-Bolarín; D | Campuzano-Bolarín F; López-Lóp | Campuzano-Bolarín F; López-Lóp | Campuzano-Bolarín F., Universidad Politécnica de Cartagena, Cartagena, Spain; Ló | nan                    | nan     | advanced ai tools; artificial  | advanced ai tools; artificial  |         nan | nan                            | nan             | nan                            | F. Campuzano-Bolarín; Universi | Spain                         | Spain         | ESP                | ESP               | Scopus     | advanced; advanced ai tools; a | advanced; advanced ai tools; a | Book chapter     | 10.1007/978-3-032-10126-6_32   | nan                            | 2-s2.0-105026954298 | nan                            |          nan | nan                            | Jay F., Industrial Dynamics, ( |              nan |     0 | natural language processing sy | natural language processing sy | natural language processing sy | nan                            | 23674512 |     nan | artificial intelligence; chatg | artificial intelligence; chatg | English |              nan |     0 |            nan | simulation model; system dynam | advanced ai tools; chatgpt; cl | advanced ai tools; advent; aut | ai tools; clear understanding; | natural language; executable m |        3 |       0 |       0 | nan                            | ESADE BUS SCH; UNIV POLITÉCNICA CARTAGENA; [UNKNOWN]                            | UNIV POLITÉCNICA CARTAGENA     |        199 | 204       | Springer Science and Business  | nan           | Final            | Campuzano-Bolarín F, 2025, LECT NOTES DATA ENG COM |       36 | Campuzano-Bolarín F 2025   | Europe                 | https://www.scopus.com/pages/p | LECTURE NOTES ON DATA ENGINEER | LECT NOTES DATA ENG COMMUN TEC | Southern Europe                | From Natural Language to Execu | from natural language to execu | from NATURAL_LANGUAGE to EXECU |         nan |   276 | advanced; ai; artificial; chat | advanced; ai; artificial; chat |   2025 |
| Sugarcane cultivation is one o | sugarcane cultivation is one o | SUGARCANE_CULTIVATION is_one_o | Faculty of Engineering, Logistic and Production Research Group, Dayhanna Stephan |    nan           | 57679312500; 58146422600; 34267748700; 36807319600                           | land use; soil improvement; su | land use; soil improvement; su | land use; soil improvement; su | Vargas-Mesa DS        | Dayhanna Stephanía Vargas-Mesa | Vargas-Mesa DS; Torres-Lozada  | Vargas-Mesa DS; Torres-Lozada  | Vargas-Mesa D.S., Faculty of Engineering, Logistic and Production Research Group | nan                    | nan     | actions; agricultural producti | actions; agricultural producti |         nan | nan                            | nan             | nan                            | J.C. Osorio-Gómez; Faculty of  | Colombia                      | Colombia      | COL                | COL               | Scopus     | actions; agricultural; agricul | actions; agricultural; agricul | Book chapter     | 10.1007/978-3-030-69314-5_16   | nan                            | 2-s2.0-85150316347  | nan                            |          nan | nan                            | Abbasi M.K.; Khizar A., Microb |              nan |     1 | nan                            | nan                            | nan                            | 978-303069314-5; 978-303069313 | nan      |     nan | land use; soil improvement; su | land use; soil improvement; su | English |              nan |     0 |            nan | sugarcane cultivation; crops;  | actions; agricultural producti | actions; bagasse; behavior; by | agricultural production; compl | dynamic study; soil improvemen |        4 |       0 |       0 | nan                            | FUND UNIV UNISANGIL; UNIV DEL VAL                                               | UNIV DEL VAL                   |        351 | 370       | Springer International Publish | nan           | Final            | Vargas-Mesa DS, 2021, TECH TOOLS METHODOL APPL QUA |       37 | Vargas-Mesa DS 2021        | Americas               | https://www.scopus.com/pages/p | TECHNIQUES, TOOLS AND METHODOL | TECH TOOLS METHODOL APPL QUAL  | Latin America and The Caribbea | Dynamic study of soil improvem | dynamic study of soil improvem | DYNAMIC_STUDY of SOIL_IMPROVEM |         nan |   nan | actions; agricultural; behavio | actions; agricultural; behavio |   2021 |
| The management of large-scale  | the management of large_scale  | the management of LARGE_SCALE_ | Faculty of Agricultural Engineering and Technology, Department of Irrigation and |    nan           | 57188962106; 8631076400; 55557650500; 55355679500                            | big karun basin; integrated wa | big karun basin; integrated wa | big karun basin; integrated wa | Abdi-Dehkordi M       | Mehri Abdi-Dehkordi; Omid Bozo | Abdi-Dehkordi M; Bozorg-Haddad | Abdi-Dehkordi M; Bozorg-Haddad | Abdi-Dehkordi M., Faculty of Agricultural Engineering and Technology, Department | nan                    | EDSNB   | account; agricultural developm | account; agricultural developm |         nan | nan                            | nan             | nan                            | O. Bozorg-Haddad; Faculty of A | Iran; United States           | Iran          | IRN; USA           | IRN               | Scopus     | account; agricultural; agricul | account; agricultural; agricul | Article          | 10.1007/s10668-021-01340-0     | nan                            | 2-s2.0-85103212926  | Iran National Science Foundati |          nan | The authors thank Iran’s Natio | Ahmad S.; Prashar D., Evaluati |              nan |    13 | iran; assessment method; decis | iran; assessment method; decis | iran; assessment method; decis | nan                            | 1387585X |      11 | assessment method; big karun b | assessment method; big karun b | English |              nan |     0 |            nan | large scale water resources sy | account; agricultural developm | account; agricultural developm | agricultural development proje | developing; sustainability ass |        4 |       0 |       0 | nan                            | MAHAB GHODSS CONSULT ENG CO; UNIV SOUTH CAROL; UNIV TEHRAN                      | UNIV TEHRAN                    |      16246 | 16282     | Springer Science and Business  | nan           | Final            | Abdi-Dehkordi M, 2021, ENV DEV SUSTAIN, V23, P1624 |       38 | Abdi-Dehkordi M 2021       | Americas; Asia         | https://www.scopus.com/pages/p | ENVIRONMENT, DEVELOPMENT AND S | ENV DEV SUSTAIN                | Northern America; Southern Asi | Developing a sustainability as | developing a sustainability as | DEVELOPING a SUSTAINABILITY_AS |         nan |    23 | account; agricultural; agricul | account; agricultural; agricul |   2021 |
| This paper investigates effici | this paper investigates effici | this_paper_investigates EFFICI | The George Washington University, Department of Engineering Management and Syste |      9.48372e+06 | 57244979300; 57245168200; 57245351100; 57244979400                           | homelessness; policy; simulati | homelessness; policy; simulati | homelessness; policy; simulati | Norris G              | Gareth Norris; Anya Qureshi; K | Norris G; Qureshi A; Russo K;  | Norris G; Qureshi A; Russo K;  | Norris G., The George Washington University, Department of Engineering Managemen | nan                    | nan     | aid; assessment process; best  | aid; assessment process; best  |      171095 | 30 April 2021                  | Virtual, Online | 2021 IEEE Systems and Informat | nan                            | United States                 | United States | USA                | USA               | Scopus     | aid; analysis; areas; assessme | aid; analysis; areas; assessme | Conference paper | 10.1109/SIEDS52267.2021.948372 | nan                            | 2-s2.0-85114213744  | nan                            |          nan | nan                            | Fowler P.J.; Hovmand P.S.; Mar |              nan |     1 | computer software; decision ma | computer software; decision ma | computer software; decision ma | 978-166541250-6                | nan      |     nan | computer software; decision ma | computer software; decision ma | English |              nan |     0 |            nan | efficiency improvement opportu | aid; assessment process; best  | 2 years; 2021 ieee; analysis;  | annual reports; client flow; d | service systems; local governm |        4 |       0 |       0 | nan                            | GEORGE WASHINGT UNIV                                                            | GEORGE WASHINGT UNIV           |        nan | nan       | Institute of Electrical and El | nan           | Final            | Norris G, 2021, IEEE SYST ENG DES SYMP SIEDS, DOI  |       39 | Norris G 2021              | Americas               | https://www.scopus.com/pages/p | 2021 IEEE SYSTEMS AND INFORMAT | IEEE SYST ENG DES SYMP SIEDS   | Northern America               | Analyzing Homeless Service Sys | analyzing homeless service sys | analyzing homeless SERVICE_SYS |         nan |   nan | aid; analysis; areas; assessme | aid; analysis; areas; assessme |   2021 |
